state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_VT,enrollmetric,pp_stloc_raw_VT,pp_fed_raw_VT,pp_total_raw_VT,schoolstloc_raw_VT,schoolfed_raw_VT,schooltot_raw_VT,pp_total_norm_NERDS,su_id_raw_VT,su_name_raw_VT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
VT,2018-2019,U053,PS219,Otter Valley Unified Union School District #53,OTTER VALLEY UHS #8,5000392.0,5000392,46501190500000.0,500039200234,552.0,07-12,4.0,552,October Count Day,10376,0,10376,5727552,0,5727552,,SU036,RUTLAND NORTHEAST SU,1,0,1,0,0,0,1
VT,2018-2019,U091,PS037,Oxbow Unified Union School District #91,BRADFORD ELEMENTARY SCHOOL,5002340.0,5000437,46500950100000.0,500043700039,,PK-06,2.0,235,October Count Day,9186,629,9815,2158710,147815,2306525,14551.84669,SU027,ORANGE EAST SU,1,0,1,0,0,0,0
VT,2018-2019,U091,PS202,Oxbow Unified Union School District #91,NEWBURY ELEMENTARY SCHOOL,5005940.0,5000437,46500900700000.0,500043700213,,PK-06,2.0,128,October Count Day,8823,1393,10216,1129344,178304,1307648,16947.61111,SU027,ORANGE EAST SU,1,0,1,0,0,0,0
VT,2018-2019,U091,PS220,Oxbow Unified Union School District #91,OXBOW UHS #30,5008247.0,5000437,46500980100000.0,500043709272,,07-12,4.0,294,October Count Day,14033,82,14115,4125702,24108,4149810,24378.26599,SU027,ORANGE EAST SU,1,0,1,0,0,0,0
VT,2018-2019,U091,VC011,Oxbow Unified Union School District #91,River Bend Career & Technical Center,,5000437,,500043700118,,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,1,0,1,0,0,1,0
VT,2018-2019,U068,PS210,Paine Mountain School District,NORTHFIELD ELEMENTARY SCHOOL,5000408.0,5000408,46500980400000.0,500040800440,307.0,PK-05,2.0,253,October Count Day,9314,0,9314,2356442,0,2356442,10651.82443,SU068,CENTRAL VERMONT SU,1,0,1,0,0,0,0
VT,2018-2019,U068,PS211,Paine Mountain School District,NORTHFIELD MIDDLE/HIGH SCHOOL,5000408.0,5000408,46500980400000.0,500040800227,285.0,06-12,4.0,285,October Count Day,12473,0,12473,3554805,0,3554805,13810.82443,SU068,CENTRAL VERMONT SU,1,0,1,0,0,0,0
VT,2018-2019,U068,PS343,Paine Mountain School District,WILLIAMSTOWN ELEM SCHOOL,5000408.0,5000408,46500980400000.0,500040800379,234.0,PK-05,2.0,197,October Count Day,10221,0,10221,2013537,0,2013537,11558.82443,SU068,CENTRAL VERMONT SU,1,0,1,0,0,0,0
VT,2018-2019,U068,PS344,Paine Mountain School District,WILLIAMSTOWN MIDDLE/HIGH SCHOOL,5000408.0,5000408,46500980400000.0,500040800380,267.0,06-12,4.0,267,October Count Day,9760,0,9760,2605920,0,2605920,11097.82443,SU068,CENTRAL VERMONT SU,1,0,1,0,0,0,0
VT,2018-2019,TE001,VC001,Patricia Hannaford Career Center School District,Patricia A. Hannaford Career Center,5000021.0,5000021,46500110100000.0,500002100099,0.0,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,1,0,1,0,0,1,1
VT,2018-2019,T151,PS223,Peacham School District,PEACHAM ELEMENTARY SCHOOL,5006390.0,5006390,46500300900000.0,500639000237,66.0,PK-06,2.0,54,October Count Day,14684,0,14684,792936,0,792936,,SU009,CALEDONIA CENTRAL SU,1,0,1,0,0,1,1
VT,2018-2019,U070,PS229,Quarry Valley Unified Union School District #70,POULTNEY ELEMENTARY SCHOOL,5000411.0,5000411,,500041100244,256.0,PK-06,2.0,195,October Count Day,10832,150,10982,2112240,29250,2141490,11306.15014,SU066,GREATER RUTLAND COUNTY SU,1,0,1,0,0,0,0
VT,2018-2019,U070,PS230,Quarry Valley Unified Union School District #70,POULTNEY HIGH SCHOOL,5000411.0,5000411,,500041100245,195.0,07-12,4.0,195,October Count Day,12178,169,12347,2374710,32955,2407665,12671.15014,SU066,GREATER RUTLAND COUNTY SU,1,0,1,0,0,0,0
VT,2018-2019,U070,PS232,Quarry Valley Unified Union School District #70,PROCTOR ELEMENTARY SCHOOL,5000411.0,5000411,,500041100247,164.0,PK-06,2.0,133,October Count Day,13465,187,13652,1790845,24871,1815716,13976.15014,SU066,GREATER RUTLAND COUNTY SU,1,0,1,0,0,0,0
