state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TX,enrollmetric,pp_stloc_raw_TX,pp_fed_raw_TX,pp_total_raw_TX,pp_site_stloc_raw_TX,pp_site_fed_raw_TX,pp_site_raw_TX,pp_centshare_stloc_raw_TX,pp_centshare_fed_raw_TX,pp_centshare_raw_TX,schoolstloc_raw_TX,schoolfed_raw_TX,schooltot_raw_TX,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
TX,2018-2019,57814,57814004,ACADEMY FOR ACADEMIC EXCELLENCE,SAU CAMPUS,4800093,4800093,44105705760300.0,480009312001.0,,,,28,October Count Day,18130.0965346534,2646.57892503536,20776.6754596888,17046.75,2406.35714285714,19453.1071428571,1083.34653465346,240.221782178217,1323.56831683168,507642.702970297,74104.2099009901,581746.912871287,20475.29113,1,0,0,0,1,0,0
TX,2018-2019,14901,14901102,ACADEMY ISD,ACADEMY EL,4807470,4807470,44501400100000.0,480747013381.0,424.0,PK-02,2.0,416,October Count Day,6875.48357884498,940.390543699901,7815.87412254488,4629.97596153846,515.439903846153,5145.41586538461,2245.50761730652,424.950639853747,2670.45825716026,2860201.16879951,391202.466179159,3251403.63497867,7692.178234,1,0,0,0,1,0,0
TX,2018-2019,14901,14901001,ACADEMY ISD,ACADEMY H S,4807470,4807470,44501400100000.0,480747000040.0,450.0,09-12,4.0,450,October Count Day,8761.58761730652,598.150639853747,9359.73825716026,6516.08,173.2,6689.28,2245.50761730652,424.950639853747,2670.45825716026,3942714.42778793,269167.787934186,4211882.21572212,9236.696609,1,0,0,0,1,0,0
TX,2018-2019,14901,14901101,ACADEMY ISD,ACADEMY INT,4807470,4807470,44501400100000.0,480747000039.0,397.0,03-05,2.0,396,October Count Day,7455.53792033682,713.996094399202,8169.53401473602,5210.0303030303,289.045454545454,5499.07575757575,2245.50761730652,424.950639853747,2670.45825716026,2952393.01645338,282742.453382084,3235135.46983546,8045.987996,1,0,0,0,1,0,0
TX,2018-2019,14901,14901041,ACADEMY ISD,ACADEMY J H,4807470,4807470,44501400100000.0,480747006348.0,381.0,06-08,3.0,379,October Count Day,7233.43637720098,856.38071900942,8089.8170962104,4987.92875989445,431.430079155672,5419.35883905013,2245.50761730652,424.950639853747,2670.45825716026,2741472.38695917,324568.29250457,3066040.67946374,7966.237296,1,0,0,0,1,0,0
TX,2018-2019,14901,14901005,ACADEMY ISD,BELL COUNTY ALTERNATIVE SCHOOL,4807470,4807470,44501400100000.0,480747009111.0,0.0,07-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,1,1,0
TX,2018-2019,101810,101810002,ACADEMY OF ACCELERATED LEARNING IN,ACADEMY OF ACCELERATED LEARNING,4800032,4800032,,480003208585.0,742.0,PK-06,2.0,742,October Count Day,8293.77897574124,1449.90700808625,9743.68598382749,7507.44204851752,1449.90700808625,8957.34905660377,786.336927223719,0,786.336927223719,6153984,1075831,7229815,9668.515959,1,0,0,0,1,0,0
TX,2018-2019,57810,57810101,ACADEMY OF DALLAS,ACADEMY OF DALLAS,4800090,4800090,,480009008161.0,487.0,PK-08,3.0,487,October Count Day,7996.87679671457,1893.65503080082,9890.5318275154,6624.31006160164,1893.65503080082,8517.96509240246,1372.56673511293,0,1372.56673511293,3894479,922210,4816689,9733.075592,1,0,0,0,1,0,0
TX,2018-2019,101849,101849101,ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACAD,4800192,4800192,,480019210716.0,248.0,PK-07,3.0,248,October Count Day,6351.47177419354,2172.71774193548,8524.18951612903,5215.13709677419,2172.71774193548,7387.85483870967,1136.33467741935,0,1136.33467741935,1575165,538834,2113999,7910.608909,1,0,0,0,1,0,0
TX,2018-2019,101849,101849105,ACCELERATED INTERMEDIATE ACADEMY,AIA LANCASTER EL,4800192,4800192,,480019212133.0,0.0,PK-06,2.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,1,1,0
TX,2018-2019,180903,180903001,ADRIAN ISD,ADRIAN SCHOOL,4807500,4807500,44518000100000.0,480750000042.0,117.0,PK-12,4.0,117,October Count Day,19914.7692307692,1418.03418803418,21332.8034188034,11551.2649572649,1399.94871794871,12951.2136752136,8363.50427350427,18.08547008547,8381.58974358974,2330028,165910,2495938,20615.57013,1,0,0,0,1,0,0
TX,2018-2019,57806,57806101,ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,4800041,4800041,,480004108501.0,1689.0,PK-12,4.0,1689,October Count Day,7661.31261101243,767.155121373593,8428.46773238602,6683.78981645944,767.155121373593,7450.94493783303,977.522794552989,0,977.522794552989,12939957,1295725,14235682,,1,0,0,0,1,1,1
TX,2018-2019,178901,178901101,AGUA DULCE ISD,AGUA DULCE EL,4807530,4807530,44517800100000.0,480753000043.0,149.0,PK-05,2.0,149,October Count Day,11561.5351476122,1089.66326570198,12651.1984133141,7084.50335570469,423.906040268456,7508.40939597315,4477.03179190751,665.757225433526,5142.78901734104,1722668.73699421,162359.826589595,1885028.56358381,11986.18603,1,0,0,0,1,0,0
