state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TN,enrollmetric,pp_stloc_raw_TN,pp_fed_raw_TN,pp_total_raw_TN,pp_site_stloc_raw_TN,pp_site_fed_raw_TN,pp_site_raw_TN,pp_centshare_stloc_raw_TN,pp_centshare_fed_raw_TN,pp_centshare_raw_TN,schoolstloc_raw_TN,schoolfed_raw_TN,schooltot_raw_TN,pp_total_norm_NERDS,ppnutritionsite_raw_TN,ppnutritioncent_raw_TN,countenroll,noaudit,nositecent,adfinvars,distflex,flag_nerds,flag_f33
TN,2018-2019,460,25,Johnson County,Mountain City Elementary,4702160,4702160,43104604630100.0,470216000699,502.0,PK-06,2.0,440,ADA,7024.16796875,1107.99755859375,8889.96850282486,4195.34090909091,755.111363636364,5648.44772727273,2828.82726759117,352.886137647663,3241.52077555213,3090634,487518.90625,3911586.14124294,8976.259585,697.995454545455,59.8073703133025,0,0,0,0,0,0,0
TN,2018-2019,460,33,Johnson County,Roan Creek Elementary,4702160,4702160,43104604630100.0,470216001836,384.0,PK-06,2.0,343,ADA,9202.302734375,1461.71997070312,11417.9172770099,6373.47521865889,1108.83381924198,8176.39650145773,2828.82726759117,352.886137647663,3241.52077555213,3156389.75,501369.9375,3916345.62601438,11426.08024,694.087463556851,59.8073703133025,0,0,0,0,0,0,0
TN,2018-2019,460,35,Johnson County,Shady Valley Elementary,4702160,4702160,43104604630100.0,470216000701,32.0,KG-06,2.0,27,ADA,19641.345703125,407.145385742188,21243.4837385151,16812.5185185185,54.2592592592593,18001.962962963,2828.82726759117,352.886137647663,3241.52077555213,530316.3125,10992.92578125,573574.060939908,20947.98035,1135.18518518519,59.8073703133025,0,0,0,0,0,0,0
TN,2018-2019,822,30,Kingsport,Abraham Lincoln Elementary School,4702190,4702190,43208200330100.0,470219000710,434.0,PK-05,2.0,419,ADA,10409.88671875,1115.314453125,12143.5706766519,7725.18138424821,934.541766109785,9240.89737470167,2684.70571620713,180.772696704775,2902.67330195024,4361742.5,467316.75,5088156.11351715,11582.1766,581.174224343675,37.1948890383322,0,0,0,0,0,0,0
TN,2018-2019,822,15,Kingsport,Andrew Jackson Elementary School,4702190,4702190,43208200330100.0,470219000707,455.0,PK-05,2.0,435,ADA,9218.572265625,1020.40258789062,10805.7261755135,6533.86666666667,839.629885057471,7903.05287356322,2684.70571620713,180.772696704775,2902.67330195024,4010079,443875.125,4700490.88634835,10285.67917,529.556321839081,37.1948890383322,0,0,0,0,0,0,0
TN,2018-2019,822,25,Kingsport,Andrew Johnson Elementary School,4702190,4702190,43208200330100.0,470219000709,584.0,PK-05,2.0,564,ADA,9061.361328125,276.304626464844,9817.99777003534,6376.65602836879,95.531914893617,6915.32446808511,2684.70571620713,180.772696704775,2902.67330195024,5110608,155835.796875,5537350.74229993,9328.477236,443.136524822695,37.1948890383322,0,0,0,0,0,0,0
TN,2018-2019,822,10,Kingsport,Dobyns - Bennett High School,4702190,4702190,43208200330100.0,470219000706,2286.0,09-12,4.0,2286,ADA,10030.1923828125,426.954223632812,10931.7511672171,7345.4864391951,246.181539807524,8029.07786526684,2684.70571620713,180.772696704775,2902.67330195024,22929020,976017.375,24989983.1682582,10407.80927,437.409886264217,37.1948890383322,0,0,0,0,0,0,0
TN,2018-2019,822,50,Kingsport,George Washington Elementary School,4702190,4702190,43208200330100.0,470219000715,479.0,PK-05,2.0,463,ADA,9900.515625,408.964935302734,10728.792092447,7215.80993520518,228.19222462203,7826.11879049676,2684.70571620713,180.772696704775,2902.67330195024,4583938.5,189350.765625,4967430.73880296,10211.12279,382.116630669546,37.1948890383322,0,0,0,0,0,0,0
TN,2018-2019,822,32,Kingsport,John Adams Elementary School,4702190,4702190,43208200330100.0,470219002216,486.0,PK-05,2.0,485,ADA,8804.0830078125,212.665481567383,9362.1722710224,6119.37731958763,31.8927835051546,6459.49896907216,2684.70571620713,180.772696704775,2902.67330195024,4269980.5,103142.7578125,4540653.55144586,8886.739359,308.228865979381,37.1948890383322,0,0,0,0,0,0,0
TN,2018-2019,822,28,Kingsport,John F. Kennedy Elementary School,4702190,4702190,43208200330100.0,470219002005,290.0,PK-05,2.0,268,ADA,10698.17578125,1086.82495117188,12554.9718094129,8013.47014925373,906.05223880597,9652.29850746269,2684.70571620713,180.772696704775,2902.67330195024,2867111.25,291269.09375,3364732.44492266,11980.86308,732.776119402985,37.1948890383322,0,0,0,0,0,0,0
