state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_DE,enrollmetric,pp_stloc_raw_DE,pp_fed_raw_DE,pp_total_raw_DE,schoolstloc_raw_DE,schoolfed_raw_DE,schooltot_raw_DE,pp_total_norm_NERDS,pp_nonpersonnel_summed_DE,pp_nonper_stloc_summed_DE,pp_nonper_fed_raw_DE,pp_per_fed_raw_DE,pp_per_stloc_raw_DE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
DE,2018-2019,10,612,Caesar Rodney School District,Major George S. Welch Elementary School,1000180,1000180,8500100100000.0,100018000044,392.0,KG-05,2.0,392,September Count Day,3617.55999999999,14757.3,18374.86,1418083.51999999,5784861.6,7202945.12,18285.7386218508,9927.79,685.69,5515.2,9242.1,2931.87,1,0,1,0,0,0,0
DE,2018-2019,10,616,Caesar Rodney School District,Nellie Hughes Stokes Elementary School,1000180,1000180,8500100100000.0,100018000045,515.0,01-05,2.0,515,September Count Day,12361.16,1315.61,13676.77,6365997.4,677539.15,7043536.55,13587.6486218508,2929.96,1695.24,80.89,1234.72,10665.92,1,0,1,0,0,0,0
DE,2018-2019,10,618,Caesar Rodney School District,Star Hill Elementary School,1000180,1000180,8500100100000.0,100018000046,448.0,01-05,2.0,448,September Count Day,11367.6199999999,609.1,11976.72,5092693.76,272876.8,5365570.56,11887.5986218508,2184.04,1655.04,80.1,529,9712.58,1,0,1,0,0,0,0
DE,2018-2019,10,620,Caesar Rodney School District,W. B. Simpson Elementary School,1000180,1000180,8500100100000.0,100018000047,620.0,01-05,2.0,620,September Count Day,9526.05,725.56,10251.61,5906151,449847.199999999,6355998.2,10162.4886218508,2107.54,1454.67,72.69,652.87,8071.38,1,0,1,0,0,0,0
DE,2018-2019,10,622,Caesar Rodney School District,W. Reily Brown Elementary School,1000180,1000180,8500100100000.0,100018000048,573.0,01-05,2.0,573,September Count Day,10449.28,1349.53,11798.81,5987437.44,773280.69,6760718.13,11709.6886218508,2762.76,1479.1,65.87,1283.66,8970.18,1,0,1,0,0,0,0
DE,2018-2019,74,573,Campus Community School,Campus Community School,1000007,1000007,,100000700070,408.0,KG-08,3.0,408,September Count Day,9591.31,643.8,10235.11,3913254.48,262670.399999999,4175924.88,11063.7254901961,2941.73,2379.67,81.74,562.06,7211.64,1,0,1,0,0,0,0
DE,2018-2019,17,724,Cape Henlopen School District,Beacon Middle School,1000170,1000170,8500300500000.0,100017000037,683.0,06-08,3.0,683,September Count Day,12701.8,391.45,13093.25,8675329.4,267360.35,8942689.75,,1842.12,1514.06,63.39,328.06,11187.74,1,0,1,0,0,0,1
DE,2018-2019,17,726,Cape Henlopen School District,Cape Henlopen High School,1000170,1000170,8500300500000.0,100017000029,1499.0,09-12,4.0,1499,September Count Day,14407.27,442.37,14849.64,21596497.73,663112.63,22259610.36,,2127.31,1756.58,71.64,370.73,12650.69,1,0,1,0,0,0,1
DE,2018-2019,17,710,Cape Henlopen School District,H. O. Brittingham Elementary School,1000170,1000170,8500300500000.0,100017000030,435.0,KG-05,2.0,435,September Count Day,14007.86,914.3,14922.16,6093419.1,397720.5,6491139.6,,2275.89,1666.64,305.05,609.25,12341.22,1,0,1,0,0,0,1
DE,2018-2019,17,718,Cape Henlopen School District,Love Creek Elementary School,1000170,1000170,8500300500000.0,100017000382,647.0,KG-05,2.0,647,September Count Day,14015.99,432.39,14448.38,9068345.53,279756.33,9348101.86,,2016.88,1654.51,70.02,362.37,12361.48,1,0,1,0,0,0,1
DE,2018-2019,17,720,Cape Henlopen School District,Mariner Middle School,1000170,1000170,8500300500000.0,100017000033,620.0,06-08,3.0,620,September Count Day,13857.61,427.01,14284.62,8591718.2,264746.2,8856464.4,,2010.81,1652.95,69.15,357.86,12204.66,1,0,1,0,0,0,1
DE,2018-2019,17,721,Cape Henlopen School District,Milton Elementary School,1000170,1000170,8500300500000.0,100017000140,421.0,KG-05,2.0,421,September Count Day,12853.74,1174.02,14027.76,5411424.54,494262.42,5905686.96,,2271,1513.44,416.46,757.56,11340.3,1,0,1,0,0,0,1
DE,2018-2019,17,722,Cape Henlopen School District,Rehoboth Elementary School,1000170,1000170,8500300500000.0,100017000035,470.0,KG-05,2.0,470,September Count Day,13514.56,953.79,14468.35,6351843.2,448281.3,6800124.5,,2243.36,1594.19,304.62,649.17,11920.37,1,0,1,0,0,0,1
DE,2018-2019,17,712,Cape Henlopen School District,Shields (Richard A.) Elementary School,1000170,1000170,8500300500000.0,100017000036,560.0,KG-05,2.0,560,September Count Day,13344.86,411.51,13756.37,7473121.6,230445.6,7703567.2,,1927.23,1582.36,66.64,344.87,11762.5,1,0,1,0,0,0,1
DE,2018-2019,17,728,Cape Henlopen School District,Sussex Consortium,1000170,1000170,8500300500000.0,100017000304,308.0,PK-12,4.0,308,September Count Day,73900.09,2042.01,75942.1,22761227.72,628939.08,23390166.8,,10286.29,8574.97,330.69,1711.32,65325.12,1,0,1,0,0,0,1
DE,2018-2019,13,636,Capital School District,Booker T. Washington Elementary School,1000190,1000190,8500100200000.0,100019000057,284.0,KG-04,2.0,284,September Count Day,19972.03,1660.78,21632.81,5672056.52,471661.52,6143718.04,21838.093561896,3591.85999999999,2199.43999999999,268.36,1392.42,17772.59,1,0,1,0,0,0,0
DE,2018-2019,13,645,Capital School District,Capital Early Childhood Center,1000190,1000190,8500100200000.0,100019000392,,,0.0,NRD,September Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,0
DE,2018-2019,13,644,Capital School District,Central Middle School,1000190,1000190,8500100200000.0,100019000049,947.0,07-08,3.0,947,September Count Day,12828.6099999999,688.68,13517.29,12148693.6699999,652179.96,12800873.63,13722.573561896,2371.16,2043.47,360.99,327.69,10785.14,1,0,1,0,0,0,0
DE,2018-2019,13,648,Capital School District,Dover High School,1000190,1000190,8500100200000.0,100019000050,1774.0,09-12,4.0,1774,September Count Day,12552.8,696.29,13249.09,22268667.2,1235218.46,23503885.66,13454.373561896,2182.19,1813.6,327.7,368.59,10739.2,1,0,1,0,0,0,0
DE,2018-2019,13,632,Capital School District,East Dover Elementary School,1000190,1000190,8500100200000.0,100019000051,398.0,KG-04,2.0,398,September Count Day,14987.45,2565.89,17553.34,5965005.1,1021224.22,6986229.32,17758.623561896,3776.70999999999,2195.10999999999,984.29,1581.6,12792.34,1,0,1,0,0,0,0
DE,2018-2019,13,638,Capital School District,Fairview Elementary School,1000190,1000190,8500100200000.0,100019000052,281.0,KG-04,2.0,281,September Count Day,12940.74,1726.68,14667.42,3636347.94,485197.08,4121545.02,14872.703561896,3443.19,1969.26,252.75,1473.93,10971.48,1,0,1,0,0,0,0
DE,2018-2019,13,640,Capital School District,Hartly Elementary School,1000190,1000190,8500100200000.0,100019000053,310.0,KG-04,2.0,310,September Count Day,14508.0599999999,1756.5,16264.56,4497498.6,544515,5042013.6,16469.843561896,3305.08,1815.85,267.27,1489.23,12692.21,1,0,1,0,0,0,0
DE,2018-2019,13,650,Capital School District,Kent County Community School,1000190,1000190,8500100200000.0,100019000054,231.0,PK-12,4.0,231,September Count Day,51987.94,1710.73,53698.67,12009214.14,395178.63,12404392.77,53903.953561896,9557.86,8721.26,874.13,836.6,43266.68,1,0,1,0,0,0,0
DE,2018-2019,13,655,Capital School District,Kent County Secondary ILC,1000190,1000190,8500100200000.0,100019000328,88.0,06-12,4.0,88,September Count Day,52232.78,1462.47,53695.25,4596484.64,128697.36,4725182,53900.533561896,10944.31,10225.97,744.13,718.34,42006.81,1,0,1,0,0,0,0
DE,2018-2019,13,635,Capital School District,North Dover Elementary School,1000190,1000190,8500100200000.0,100019000011,366.0,KG-04,2.0,366,September Count Day,12955.2599999999,1231.63,14186.89,4741625.15999999,450776.58,5192401.74,14392.173561896,2945.4,1919.98,206.21,1025.42,11035.2799999999,1,0,1,0,0,0,0
DE,2018-2019,13,634,Capital School District,South Dover Elementary School,1000190,1000190,8500100200000.0,100019000055,564.0,KG-04,2.0,564,September Count Day,11810.63,1431.48,13242.11,6661195.31999999,807354.72,7468550.04,13447.393561896,2799.68,1558.92999999999,190.73,1240.75,10251.6999999999,1,0,1,0,0,0,0
DE,2018-2019,13,642,Capital School District,Towne Point Elementary School,1000190,1000190,8500100200000.0,100019000056,296.0,KG-04,2.0,296,September Count Day,12677.4499999999,1648.89,14326.34,3752525.19999999,488071.44,4240596.64,14531.623561896,3220.52,1774.87,203.24,1445.65,10902.58,1,0,1,0,0,0,0
DE,2018-2019,13,646,Capital School District,William Henry Middle School,1000190,1000190,8500100200000.0,100019000058,980.0,05-06,2.0,980,September Count Day,12695.22,1116.38,13811.6,12441315.6,1094052.4,13535368,14016.883561896,2590.23,1857.76,383.91,732.47,10837.46,1,0,1,0,0,0,0
DE,2018-2019,80,579,Charter School of New Castle,Charter School of New Castle,1000024,1000024,,100002400256,763.0,KG-08,3.0,763,September Count Day,12485.64,1603.96,14089.6,9526543.32,1223821.48,10750364.8,14131.0615989515,6047.26,4977.46,534.16,1069.8,7508.17999999999,1,0,1,0,0,0,0
DE,2018-2019,33,350,Christina School District,Bancroft Elementary School,1000200,1000200,8500260300000.0,100020000233,246.0,01-06,2.0,246,September Count Day,26226.94,2648.23,28875.17,6451827.23999999,651464.58,7103291.81999999,30032.1034673632,6283.42,4959.5,1324.31,1323.92,21267.44,1,0,1,0,0,0,0
DE,2018-2019,33,352,Christina School District,Bayard Middle School,1000200,1000200,8500260300000.0,100020000232,325.0,01-08,3.0,325,September Count Day,21304.38,1345.6,22649.98,6923923.5,437319.999999999,7361243.5,23806.9134673632,4932.04999999999,4133.07,546.62,798.98,17171.31,1,0,1,0,0,0,0
DE,2018-2019,33,339,Christina School District,Brader (Henry M.) Elementary School,1000200,1000200,8500260300000.0,100020000323,439.0,KG-05,2.0,439,September Count Day,18060.87,834.02,18894.89,7928721.93,366134.779999999,8294856.71,20051.8234673632,2624.85999999999,2253.41,462.57,371.45,15807.46,1,0,1,0,0,0,0
DE,2018-2019,33,538,Christina School District,Brennen School (The),1000200,1000200,8500260300000.0,100020000305,424.0,PK-12,4.0,424,September Count Day,85902.29,1679.48,87581.77,36422570.96,712099.52,37134670.48,88738.7034673633,18695.9499999999,18033.35,1016.88,662.6,67868.94,1,0,1,0,0,0,0
