state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NM,enrollmetric,pp_stloc_raw_NM,pp_fed_raw_NM,pp_total_raw_NM,pp_site_stloc_raw_NM,pp_site_fed_raw_NM,pp_site_raw_NM,pp_centshare_stloc_raw_NM,pp_centshare_fed_raw_NM,pp_centshare_raw_NM,schoolstloc_raw_NM,schoolfed_raw_NM,schooltot_raw_NM,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NM,2018-2019,1,1035,Albuquerque,CONTINUATION SCHOOL,3500060,3500060,32500100100000.0,350006000709.0,2.0,PK-12,4.0,NRD,First Reporting Period MEM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,0
NM,2018-2019,1,1243,Albuquerque,Coronado Elementary,3500060,3500060,32500100100000.0,350006001054.0,306.0,KG-05,2.0,306,First Reporting Period MEM,8059.945019,476.3951514,8536.34017,6058.368399,170.6208824,6228.989281,2001.57662,305.774269,2307.350889,2466343.175814,145776.9163284,2612120.09202,8933.923515,0,0,0,0,0,0,0
NM,2018-2019,1,1351,Albuquerque,Corrales Elementary,3500060,3500060,32500100100000.0,350006000107.0,378.0,KG-05,2.0,378,First Reporting Period MEM,8124.128827,415.8778476,8540.006674,5843.869921,237.617037,6081.486958,2280.258906,178.2608106,2458.519716,3070920.696606,157201.8263928,3228122.522772,8937.590019,0,0,0,0,0,0,0
NM,2018-2019,1,1028,Albuquerque,CORRALES INTERNATIONAL,3500060,3500060,32500100100000.0,350006001028.0,239.0,KG-12,4.0,239,First Reporting Period MEM,9808.95,282.16,10091.11,9808.95,282.16,10091.11,0,0,0,2344339.05,67436.24,2411775.29,10488.69334,0,0,0,0,0,0,0
NM,2018-2019,1,1769,Albuquerque,COTTONWOOD CLASSICAL PREP,3500060,3500060,32500100100000.0,350006001031.0,727.0,06-12,4.0,727,First Reporting Period MEM,6572.52,120.61,6693.13,6572.52,120.61,6693.13,0,0,0,4778222.04,87683.47,4865905.51,7090.713345,0,0,0,0,0,0,0
NM,2018-2019,1,1952,Albuquerque,Coyote Willow Family School,3500060,3500060,32500100100000.0,350006001133.0,215.0,KG-08,3.0,215,First Reporting Period MEM,5959.78263999999,115.0813209,6074.863961,4692.559209,0,4692.559209,1267.223431,115.0813209,1382.304752,1281353.2676,24742.4839934999,1306095.751615,6472.447306,0,0,0,0,0,0,0
NM,2018-2019,1,1514,Albuquerque,Del Norte High,3500060,3500060,32500100100000.0,350006000044.0,1089.0,09-12,4.0,1089,First Reporting Period MEM,9800.215945,1156.2883873,10956.50433,6345.516905,517.4981635,6863.015069,3454.69904,638.7902238,4093.489263,10672435.164105,1259198.0537697,11931633.21537,11354.08767,0,0,0,0,0,0,0
NM,2018-2019,1,1203,Albuquerque,Dennis Chavez Elementary,3500060,3500060,32500100100000.0,350006000681.0,559.0,PK-05,2.0,552,First Reporting Period MEM,9655.285335,763.7718033,10419.05714,6923.551504,334.4681341,7258.019638,2731.733831,429.3036692,3161.037501,5329717.50492,421602.0354216,5751319.54128,10816.64048,0,0,0,0,0,0,0
NM,2018-2019,1,1430,Albuquerque,Desert Ridge Middle,3500060,3500060,32500100100000.0,350006000764.0,1014.0,06-08,3.0,1014,First Reporting Period MEM,8277.572026,526.7661028,8804.338129,5704.540523,102.2884911,5806.829014,2573.031503,424.4776117,2997.509115,8393458.034364,534140.8282392,8927598.862806,9201.921474,0,0,0,0,0,0,0
NM,2018-2019,1,1900,Albuquerque,Desert Willow Family School,3500060,3500060,32500100100000.0,350006000273.0,294.0,KG-08,3.0,294,First Reporting Period MEM,6285.177322,206.89639426,6492.073716,4701.209456,86.06214286,4787.271599,1583.967866,120.8342514,1704.802117,1847842.132668,60827.53991244,1908669.672504,6889.657061,0,0,0,0,0,0,0
