state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ND,enrollmetric,pp_stloc_raw_ND,pp_fed_raw_ND,pp_total_raw_ND,schoolstloc_raw_ND,schoolfed_raw_ND,schooltot_raw_ND,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ND,2018-2019,22001,82321,Kidder County Public School District,Steele-Dawson Elementary School,3800389,3800389,35502204100000.0,380038900611,196.0,PK-06,2.0,163,September Count,11569.17,994.96,12564.12,1885774.71,162178.48,2047951.56,16190.48589,1,0,1,0,0,0,0
ND,2018-2019,22001,82323,Kidder County Public School District,Steele-Dawson High School,3800389,3800389,35502204100000.0,380038900612,155.0,07-12,4.0,155,September Count,11569.17,994.96,12564.12,1793221.35,154218.8,1947438.6,16190.48589,1,0,1,0,0,0,0
ND,2018-2019,22001,83181,Kidder County Public School District,Tappen Elementary School,3800389,3800389,35502204100000.0,380038900624,34.0,PK-06,2.0,33,September Count,14196.43,1112.85,15309.28,468482.19,36724.0499999999,505206.24,18935.64589,1,0,1,0,0,0,0
ND,2018-2019,13016,49271,Killdeer Public School District,Killdeer Elementary School,3810270,3810270,35501301600000.0,381027000331,367.0,PK-06,2.0,327,September Count,10544.33,48.37,10592.71,3447995.91,15816.99,3463816.17,13958.55891,1,0,1,0,0,0,0
ND,2018-2019,13016,49273,Killdeer Public School District,Killdeer High School,3810270,3810270,35501301600000.0,381027000332,228.0,07-12,4.0,228,September Count,10544.33,48.37,10592.71,2404107.23999999,11028.3599999999,2415137.88,13958.55891,1,0,1,0,0,0,0
ND,2018-2019,9002,49331,Kindred Public School District,Kindred Elementary School,3800025,3800025,35500903800000.0,380002500334,456.0,PK-06,2.0,424,September Count,6034.87,325.63,6360.5,2558784.88,138067.12,2696852,8036.983756,1,0,1,0,0,0,0
ND,2018-2019,9002,49343,Kindred Public School District,Kindred High School,3800025,3800025,35500903800000.0,380002500335,339.0,07-12,4.0,339,September Count,10948.87,0,10948.87,3711666.93,0,3711666.93,12625.35376,1,0,1,0,0,0,0
ND,2018-2019,23007,50721,Kulm Public School District,Kulm Elementary School,3810500,3810500,35502301400000.0,381050000338,99.0,PK-08,3.0,88,September Count,14820.52,626.65,15447.17,1304205.76,55145.2,1359350.96,19099.4205,1,0,1,0,0,0,0
ND,2018-2019,23007,50723,Kulm Public School District,Kulm High School,3810500,3810500,35502301400000.0,381050000339,41.0,09-12,4.0,41,September Count,14820.52,626.65,15447.17,607641.32,25692.6499999999,633333.97,19099.4205,1,0,1,0,0,0,0
ND,2018-2019,32066,51371,Lakota Public School District,Lakota Elementary School,3810600,3810600,35503201300000.0,381060000341,90.0,PK-06,2.0,86,September Count,11066.99,790.33,11857.32,951761.14,67968.38,1019729.52,15534.94713,1,0,1,0,0,0,0
ND,2018-2019,32066,51363,Lakota Public School District,Lakota High School,3810600,3810600,35503201300000.0,381060000342,67.0,07-12,4.0,67,September Count,16209.78,27.29,16237.06,1086055.26,1828.42999999999,1087883.02,19914.68713,1,0,1,0,0,0,0
ND,2018-2019,23008,51441,Lamoure Public School District,Lamoure Colony School,3810740,3810740,35502301500000.0,381074000346,31.0,KG-08,3.0,31,September Count,6198.53,0,6198.53,192154.43,0,192154.43,8753.908072,1,0,1,0,0,0,0
ND,2018-2019,23008,51451,Lamoure Public School District,Lamoure Elementary School,3810740,3810740,35502301500000.0,381074000343,169.0,PK-08,3.0,162,September Count,10725.19,1367.73,12092.91,1737480.78,221572.26,1959051.42,14648.28807,1,0,1,0,0,0,0
ND,2018-2019,23008,51453,Lamoure Public School District,Lamoure High School,3810740,3810740,35502301500000.0,381074000345,106.0,09-12,4.0,106,September Count,10725.19,1367.73,12092.91,1136870.14,144979.38,1281848.46,14648.28807,1,0,1,0,0,0,0
ND,2018-2019,10023,51541,Langdon Area Public School District,Langdon Area Elementary School,3810810,3810810,35501002100000.0,381081000347,208.0,PK-06,2.0,203,September Count,12228.14,572.87,12801.01,2482312.42,116292.61,2598605.03,16127.2055,1,0,1,0,0,0,0
ND,2018-2019,10023,51533,Langdon Area Public School District,Langdon Area High School,3810810,3810810,35501002100000.0,381081000348,181.0,07-12,4.0,181,September Count,12243.23,544.09,12787.32,2216024.63,98480.29,2314504.92,16113.5155,1,0,1,0,0,0,0
ND,2018-2019,18044,51631,Larimore Public School District,Larimore Elementary School,3810860,3810860,35501804600000.0,381086000354,229.0,PK-06,2.0,209,September Count,9054.42,488.35,9542.77,1892373.78,102065.15,1994438.93,12324.79721,1,0,1,0,0,0,0
ND,2018-2019,18044,51693,Larimore Public School District,Larimore High School,3810860,3810860,35501804600000.0,381086000355,165.0,07-12,4.0,165,September Count,10091.23,2.36,10093.59,1665052.95,389.4,1665442.35,12875.61721,1,0,1,0,0,0,0
ND,2018-2019,3006,51841,Leeds Public School District,Leeds Elementary School,3810980,3810980,35500302300000.0,381098000357,84.0,PK-08,3.0,78,September Count,13633.81,606.07,14239.88,1063437.18,47273.46,1110710.64,17801.13514,1,0,1,0,0,0,0
ND,2018-2019,3006,51843,Leeds Public School District,Leeds High School,3810980,3810980,35500302300000.0,381098000358,53.0,09-12,4.0,53,September Count,13633.81,606.07,14239.88,722591.929999999,32121.71,754713.64,17801.13514,1,0,1,0,0,0,0
ND,2018-2019,51161,9161,Lewis And Clark Public School District,Berthold Elementary School,3800058,3800058,35505110100000.0,380005800029,117.0,PK-06,2.0,110,September Count,11615.58,313.14,11928.72,1277713.8,34445.4,1312159.2,14888.80436,1,0,1,0,0,0,0
ND,2018-2019,51161,9163,Lewis And Clark Public School District,Berthold High School,3800058,3800058,35505110100000.0,380005800030,117.0,07-12,4.0,117,September Count,11615.58,313.14,11928.72,1359022.86,36637.38,1395660.24,14888.80436,1,0,1,0,0,0,0
