state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_IN,enrollmetric,pp_stloc_raw_IN,pp_fed_raw_IN,pp_total_raw_IN,schoolstloc_raw_IN,schoolfed_raw_IN,schooltot_raw_IN,pp_total_norm_NERDS,pp_instruction_site_raw_IN,pp_otherinstruct_site_raw_IN,pp_instruction_centshare_raw_IN,pp_operations_site_raw_IN,pp_operations_centshare_raw_IN,pp_instruction_raw_IN,pp_noninstruction_raw_IN,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
IN,2018-2019,2260,1701,Baugo Community Schools,Jimtown High School,1800420,1800420,15502000100000.0,180042000090.0,595.0,09-12,4.0,595,October Count Day,8769.17,297.02,9066.19,5217656.15,176726.9,5394383.05,9817.949779,5797.93,0,728.42,888.74,1651.11,6526.35,2539.84,1,0,1,1,0,0,0
IN,2018-2019,2260,1707,Baugo Community Schools,Jimtown Intermediate School,1800420,1800420,15502000100000.0,180042002026.0,576.0,03-06,2.0,576,October Count Day,2121.37,258.15,2379.52,1221909.11999999,148694.4,1370603.52,3131.279779,0,0,728.42,0,1651.11,728.42,1651.1,1,0,1,1,0,1,0
IN,2018-2019,2260,1703,Baugo Community Schools,Jimtown Junior High School,1800420,1800420,15502000100000.0,180042000091.0,290.0,07-08,3.0,290,October Count Day,8261.84,320.67,8582.52,2395933.6,92994.3,2488930.8,9334.279779,5639.28,0,728.42,563.71,1651.11,6367.7,2214.82,1,0,1,1,0,0,0
IN,2018-2019,5380,5453,Beech Grove City Schools,Beech Grove Middle School,1800450,1800450,15504900100000.0,180045000092.0,495.0,07-08,3.0,495,October Count Day,8780.8,700.65,9481.45,4346496,346821.75,4693317.75,10504.36181,6525.5,0,1068.21,641.95,1245.8,7593.71,1887.74,1,0,1,1,0,0,0
IN,2018-2019,5380,5449,Beech Grove City Schools,Beech Grove Sr High School,1800450,1800450,15504900100000.0,180045000093.0,937.0,09-12,4.0,937,October Count Day,9784.04,373.8,10157.85,9167645.48,350250.6,9517905.45,11180.76181,7119.23,0,1068.21,724.61,1245.8,8187.44,1970.41,1,0,1,1,0,0,0
IN,2018-2019,5380,5457,Beech Grove City Schools,Central Elementary School,1800450,1800450,15504900100000.0,180045000094.0,436.0,02-03,2.0,436,October Count Day,6909.28,915.02,7824.3,3012446.08,398948.72,3411394.8,8847.21181,5042,22.23,1068.21,446.06,1245.8,6110.21,1714.09,1,0,1,1,0,0,0
IN,2018-2019,5380,5463,Beech Grove City Schools,Hornet Park Elementary School,1800450,1800450,15504900100000.0,180045000881.0,458.0,PK-01,1.0,458,October Count Day,8949.95,1028.9,9978.86,4099077.1,471236.2,4570317.88,11001.77181,7226.77,0,1068.21,438.08,1245.8,8294.98,1683.88,1,0,1,1,0,0,0
IN,2018-2019,5380,5461,Beech Grove City Schools,South Grove Intermediate School,1800450,1800450,15504900100000.0,180045000095.0,690.0,04-06,2.0,690,October Count Day,7632.54,377.55,8010.09,5266452.6,260509.5,5526962.1,9033.00181,5344.11,0,1068.21,351.97,1245.8,6412.32,1597.77,1,0,1,1,0,0,0
IN,2018-2019,395,0445,Benton Community School Corp,Benton Central Jr-Sr High School,1800480,1800480,15500470100000.0,180048000097.0,855.0,07-12,4.0,855,October Count Day,11914.18,6.43,11920.61,10186623.9,5497.65,10192121.55,13200.77105,7722.3,0,497.93,1641.28,2059.1,8220.23,3700.38,1,0,1,1,0,0,0
IN,2018-2019,395,0433,Benton Community School Corp,Boswell Elementary School,1800480,1800480,15500470100000.0,180048000098.0,164.0,PK-06,2.0,164,October Count Day,11184.94,534.52,11719.46,1834330.16,87661.28,1921991.44,12999.62105,7305.7,0,497.93,1856.73,2059.1,7803.63,3915.82999999999,1,0,1,1,0,0,0
